cip6,program_name,level,inst_state,pct_in_state,median_earn_4yr,net_price_year,living_cost_year,time_years,notes
40.0800,Physics,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
42.0100,"Psychology, General",UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
43.0100,Criminal Justice and Corrections,UG,TX,0.7,48415.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
43.0300,Homeland Security,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
44.0400,Public Administration,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
44.0700,Social Work,UG,TX,0.7,43618.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
45.1000,Political Science and Government,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
45.1100,Sociology,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
49.0100,Air Transportation,UG,TX,0.7,41876.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
50.0100,"Visual and Performing Arts, General",UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
50.0500,Drama/Theatre Arts and Stagecraft,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
50.0700,Fine and Studio Arts,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
50.0900,Music,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.0000,"Health Services/Allied Health/Health Sciences, General",UG,TX,0.7,41024.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.0700,Health and Medical Administrative Services,UG,TX,0.7,41327.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.0900,"Allied Health Diagnostic, Intervention, and Treatment Professions",UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.1000,Clinical/Medical Laboratory Science/Research and Allied Professions,UG,TX,0.7,51959.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.1100,Health/Medical Preparatory Programs,UG,TX,0.7,127151.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.2000,"Pharmacy, Pharmaceutical Sciences, and Administration",UG,TX,0.7,127953.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.2200,Public Health,UG,TX,0.7,47286.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
51.3100,Dietetics and Clinical Nutrition Services,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
52.0200,"Business Administration, Management and Operations",UG,TX,0.7,52161.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
52.0300,Accounting and Related Services,UG,TX,0.7,52809.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
52.0800,Finance and Financial Management Services,UG,TX,0.7,41190.0,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
52.1200,Management Information Systems and Services,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
52.1400,Marketing,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
54.0100,History,UG,TX,0.7,,9500,18000,4.0,"Source: College Scorecard FoS (TSU, CIP 4-digit series). Generated 2025-09-24."
